fetched_at,name,url,status,n_tools,error
2026-08-10T02:30:14+00:00,ai.byteray/byteray-mcp,https://mcp.byteray.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.byteray.ai/mcp
2026-08-10T02:30:14+00:00,ai.cabrini/market-data,https://cabrini.ai/mcp,ok,15,
2026-08-10T02:30:15+00:00,ai.cactal/cactal,https://api.cactal.ai/v1/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.cactal.ai/v1/mcp
2026-08-10T02:30:16+00:00,ai.calendarmcp/server,https://calendarmcp.ai/api/mcp,error,,HTTPError: 403 Client Error: Forbidden for url: https://calendarmcp.ai/api/mcp
2026-08-10T02:30:17+00:00,ai.calfeed/calfeed,https://calfeed.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://calfeed.ai/api/mcp
2026-08-10T02:30:17+00:00,ai.callmcp/server,,skipped_no_remote,,
2026-08-10T02:30:18+00:00,ai.canaryusers/canaryusers,https://www.canaryusers.ai/api/mcp,ok,3,
2026-08-10T02:30:19+00:00,ai.canivibe/status,https://canivibe.ai/mcp,ok,2,
2026-08-10T02:30:20+00:00,ai.canvora/canvora,https://api.canvora.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.canvora.ai/mcp
2026-08-10T02:30:21+00:00,ai.caulo/caulo,https://mcp.caulo.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.caulo.ai/mcp
2026-08-10T02:30:21+00:00,ai.ccapi/mcp,https://api.ccapi.ai/mcp,ok,11,
2026-08-10T02:30:23+00:00,ai.cdbx/mcp-server,https://cdbx.ai/api/mcp/server,error,,HTTPError: 401 Client Error: Unauthorized for url: https://cdbx.ai/api/mcp/server
2026-08-10T02:30:23+00:00,ai.certscore/mcp,,skipped_no_remote,,
2026-08-10T02:30:23+00:00,ai.certscore/mcp-light,https://mcp.certscore.ai/mcp/light,ok,3,
2026-08-10T02:30:24+00:00,ai.chatthing/chat-thing,https://app.chatthing.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://app.chatthing.ai/mcp
2026-08-10T02:30:25+00:00,ai.childadhd/library,https://childadhd.ai/api/mcp/v1,ok,6,
2026-08-10T02:30:25+00:00,ai.childanxiety/library,https://childanxiety.ai/api/mcp/v1,ok,6,
2026-08-10T02:30:26+00:00,ai.childpsychiatry/library,https://childpsychiatry.ai/api/mcp/v1,ok,6,
2026-08-10T02:30:27+00:00,ai.chinamarketing/intelligence,https://api.chinamarketing.ai/mcp,ok,3,
2026-08-10T02:30:28+00:00,ai.chronary/mcp,https://api.chronary.ai/mcp,ok,54,
2026-08-10T02:30:28+00:00,ai.circulara/plugin,,skipped_no_remote,,
2026-08-10T02:30:28+00:00,ai.cirra/salesforce-mcp,https://mcp.cirra.ai/sfdc/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.cirra.ai/sfdc/mcp
